"name","latitude","longitude","geometry"
"Thomson Plaza",1.354572713531,103.830736786106,c(103.830736786106, 1.354572713531)
"Bukit Timah Shopping Center",1.34318980192213,103.77599484586,c(103.77599484586, 1.34318980192213)
"Beauty World Centre",1.34234029082895,103.776566873844,c(103.776566873844, 1.34234029082895)
"Beauty World Plaza",1.34181276439625,103.776259153038,c(103.776259153038, 1.34181276439625)
"The Clementi Mall",1.31493035383076,103.764271147628,c(103.764271147628, 1.31493035383076)
"Grantral Mall @ Clementi",1.31429386725912,103.765134435634,c(103.765134435634, 1.31429386725912)
"Greenwich V",1.38749555763136,103.869400788343,c(103.869400788343, 1.38749555763136)
"Upper Serangoon Shopping Centre",1.35358338780191,103.87881089871,c(103.87881089871, 1.35358338780191)
"West Coast Plaza",1.30367658979884,103.766132068771,c(103.766132068771, 1.30367658979884)
"Icon Village",1.27513749445951,103.844500387126,c(103.844500387126, 1.27513749445951)
"Ang Mo Kio Hub",1.36940100121519,103.848414312564,c(103.848414312564, 1.36940100121519)
"Admiralty Place",1.44025823307845,103.80129760081,c(103.80129760081, 1.44025823307845)
"Leisure Park Kallang",1.30220887723915,103.876535054386,c(103.876535054386, 1.30220887723915)
"Delfi Orchard",1.30717087554324,103.828470588552,c(103.828470588552, 1.30717087554324)
"Orchard Building",1.30137751178799,103.837376470234,c(103.837376470234, 1.30137751178799)
"Tekka Place",1.30454776996896,103.852280603079,c(103.852280603079, 1.30454776996896)
"Westgate",1.33420474229672,103.742845001232,c(103.742845001232, 1.33420474229672)
"Coronation Plaza",1.32378238994498,103.810005480567,c(103.810005480567, 1.32378238994498)
"Great World City",1.29357194816576,103.831928146108,c(103.831928146108, 1.29357194816576)
"West Mall",1.35000983928113,103.749258238065,c(103.749258238065, 1.35000983928113)
"Tampines Mall",1.35247734361668,103.94470287242,c(103.94470287242, 1.35247734361668)
"Century Square",1.35237769636565,103.943819486027,c(103.943819486027, 1.35237769636565)
"Tampines 1",1.35420840283659,103.945061933611,c(103.945061933611, 1.35420840283659)
"Rochester Mall",1.30561381194458,103.788145751795,c(103.788145751795, 1.30561381194458)
"HDB Hub",1.3320358965468,103.848513853753,c(103.848513853753, 1.3320358965468)
